BUBBLE SORT
Line[000]: 00:000 sec/mil
Line[001]: 00:000 sec/mil
Line[002]: 00:000 sec/mil
Line[003]: 00:000 sec/mil
Line[004]: 00:014 sec/mil
Line[005]: 00:008 sec/mil
Line[006]: 00:007 sec/mil
Line[007]: 00:007 sec/mil
Line[008]: 00:008 sec/mil
Line[009]: 00:007 sec/mil
Line[010]: 00:008 sec/mil
Line[011]: 00:007 sec/mil
Line[012]: 00:008 sec/mil
Line[013]: 00:007 sec/mil
Line[014]: 00:008 sec/mil
Line[015]: 00:007 sec/mil
Line[016]: 00:007 sec/mil
Line[017]: 00:008 sec/mil
Line[018]: 00:007 sec/mil
Line[019]: 00:008 sec/mil
Line[020]: 00:007 sec/mil
Line[021]: 00:007 sec/mil
Line[022]: 00:008 sec/mil
Line[023]: 00:007 sec/mil
Line[024]: 00:008 sec/mil
Line[025]: 00:008 sec/mil
Line[026]: 00:007 sec/mil
Line[027]: 00:008 sec/mil
Line[028]: 00:007 sec/mil
Line[029]: 00:008 sec/mil
Line[030]: 00:007 sec/mil
Line[031]: 00:008 sec/mil
Line[032]: 00:007 sec/mil
Line[033]: 00:008 sec/mil
Line[034]: 00:007 sec/mil
Line[035]: 00:007 sec/mil
Line[036]: 00:008 sec/mil
Line[037]: 00:007 sec/mil
Line[038]: 00:007 sec/mil
Line[039]: 00:008 sec/mil
Line[040]: 00:007 sec/mil
Line[041]: 00:008 sec/mil
Line[042]: 00:007 sec/mil
Line[043]: 00:007 sec/mil
Line[044]: 00:008 sec/mil
Line[045]: 00:007 sec/mil
Line[046]: 00:008 sec/mil
Line[047]: 00:008 sec/mil
Line[048]: 00:007 sec/mil
Line[049]: 00:008 sec/mil
Line[050]: 00:007 sec/mil
Line[051]: 00:007 sec/mil
Line[052]: 00:007 sec/mil
Line[053]: 00:008 sec/mil
Line[054]: 00:008 sec/mil
Line[055]: 00:007 sec/mil
Line[056]: 00:008 sec/mil
Line[057]: 00:008 sec/mil
Line[058]: 00:007 sec/mil
Line[059]: 00:008 sec/mil
Line[060]: 00:008 sec/mil
Line[061]: 00:007 sec/mil
Line[062]: 00:008 sec/mil
Line[063]: 00:008 sec/mil
Line[064]: 00:007 sec/mil
Line[065]: 00:008 sec/mil
Line[066]: 00:007 sec/mil
Line[067]: 00:008 sec/mil
Line[068]: 00:007 sec/mil
Line[069]: 00:009 sec/mil
Line[070]: 00:009 sec/mil
Line[071]: 00:007 sec/mil
Line[072]: 00:008 sec/mil
Line[073]: 00:007 sec/mil
Line[074]: 00:007 sec/mil
Line[075]: 00:008 sec/mil
Line[076]: 00:007 sec/mil
Line[077]: 00:008 sec/mil
Line[078]: 00:007 sec/mil
Line[079]: 00:008 sec/mil
Line[080]: 00:007 sec/mil
Line[081]: 00:008 sec/mil
Line[082]: 00:007 sec/mil
Line[083]: 00:007 sec/mil
Line[084]: 00:007 sec/mil
Line[085]: 00:007 sec/mil
Line[086]: 00:007 sec/mil
Line[087]: 00:008 sec/mil
Line[088]: 00:008 sec/mil
Line[089]: 00:008 sec/mil
Line[090]: 00:007 sec/mil
Line[091]: 00:008 sec/mil
Line[092]: 00:009 sec/mil
Line[093]: 00:008 sec/mil
Line[094]: 00:009 sec/mil
Line[095]: 00:009 sec/mil
Line[096]: 00:009 sec/mil
Line[097]: 00:009 sec/mil
Line[098]: 00:009 sec/mil
Line[099]: 00:008 sec/mil
Line[100]: 00:008 sec/mil
Line[101]: 00:007 sec/mil
Line[102]: 00:007 sec/mil
Line[103]: 00:007 sec/mil
Line[104]: 00:007 sec/mil
Line[105]: 00:007 sec/mil
Line[106]: 00:007 sec/mil
Line[107]: 00:007 sec/mil
Line[108]: 00:008 sec/mil
Line[109]: 00:007 sec/mil
Line[110]: 00:008 sec/mil
Line[111]: 00:007 sec/mil
Line[112]: 00:008 sec/mil
Line[113]: 00:007 sec/mil
Line[114]: 00:008 sec/mil
Line[115]: 00:008 sec/mil
Line[116]: 00:007 sec/mil
Line[117]: 00:008 sec/mil
Line[118]: 00:007 sec/mil
Line[119]: 00:007 sec/mil
Line[120]: 00:008 sec/mil
Line[121]: 00:007 sec/mil
Line[122]: 00:008 sec/mil
Line[123]: 00:007 sec/mil
Line[124]: 00:007 sec/mil
Line[125]: 00:007 sec/mil
Line[126]: 00:007 sec/mil
Line[127]: 00:008 sec/mil
Line[128]: 00:007 sec/mil
Line[129]: 00:007 sec/mil
Line[130]: 00:007 sec/mil
Line[131]: 00:007 sec/mil
Line[132]: 00:008 sec/mil
Line[133]: 00:007 sec/mil
Line[134]: 00:007 sec/mil
Line[135]: 00:008 sec/mil
Line[136]: 00:008 sec/mil
Line[137]: 00:007 sec/mil
Line[138]: 00:007 sec/mil
Line[139]: 00:008 sec/mil
Line[140]: 00:008 sec/mil
Line[141]: 00:009 sec/mil
Line[142]: 00:010 sec/mil
Line[143]: 00:010 sec/mil
Line[144]: 00:010 sec/mil
Line[145]: 00:010 sec/mil
Line[146]: 00:010 sec/mil
Line[147]: 00:009 sec/mil
Line[148]: 00:008 sec/mil
Line[149]: 00:007 sec/mil
Line[150]: 00:008 sec/mil
Line[151]: 00:007 sec/mil
Line[152]: 00:008 sec/mil
Line[153]: 00:008 sec/mil
Line[154]: 00:010 sec/mil
Line[155]: 00:010 sec/mil
Line[156]: 00:011 sec/mil
Line[157]: 00:010 sec/mil
Line[158]: 00:011 sec/mil
Line[159]: 00:007 sec/mil
Line[160]: 00:008 sec/mil
Line[161]: 00:008 sec/mil
Line[162]: 00:007 sec/mil
Line[163]: 00:008 sec/mil
Line[164]: 00:008 sec/mil
Line[165]: 00:007 sec/mil
Line[166]: 00:007 sec/mil
Line[167]: 00:008 sec/mil
Line[168]: 00:007 sec/mil
Line[169]: 00:008 sec/mil
Line[170]: 00:007 sec/mil
Line[171]: 00:008 sec/mil
Line[172]: 00:007 sec/mil
Line[173]: 00:008 sec/mil
Line[174]: 00:007 sec/mil
Line[175]: 00:008 sec/mil
Line[176]: 00:007 sec/mil
Line[177]: 00:007 sec/mil
Line[178]: 00:008 sec/mil
Line[179]: 00:007 sec/mil
Line[180]: 00:008 sec/mil
Line[181]: 00:007 sec/mil
Line[182]: 00:008 sec/mil
Line[183]: 00:008 sec/mil
Line[184]: 00:007 sec/mil
Line[185]: 00:008 sec/mil
Line[186]: 00:007 sec/mil
Line[187]: 00:007 sec/mil
Line[188]: 00:008 sec/mil
Line[189]: 00:007 sec/mil
Line[190]: 00:007 sec/mil
Line[191]: 00:008 sec/mil
Line[192]: 00:007 sec/mil
Line[193]: 00:008 sec/mil
Line[194]: 00:007 sec/mil
Line[195]: 00:008 sec/mil
Line[196]: 00:007 sec/mil
Line[197]: 00:008 sec/mil
Line[198]: 00:007 sec/mil
Line[199]: 00:008 sec/mil
Line[200]: 00:007 sec/mil
Line[201]: 00:008 sec/mil
Line[202]: 00:007 sec/mil
Line[203]: 00:008 sec/mil
Line[204]: 00:008 sec/mil
Line[205]: 00:007 sec/mil
Line[206]: 00:008 sec/mil
Line[207]: 00:007 sec/mil
Line[208]: 00:007 sec/mil
Line[209]: 00:008 sec/mil
Line[210]: 00:007 sec/mil
Line[211]: 00:008 sec/mil
Line[212]: 00:007 sec/mil
Line[213]: 00:008 sec/mil
Line[214]: 00:007 sec/mil
Line[215]: 00:007 sec/mil
Line[216]: 00:008 sec/mil
Line[217]: 00:007 sec/mil
Line[218]: 00:008 sec/mil
Line[219]: 00:007 sec/mil
Line[220]: 00:008 sec/mil
Line[221]: 00:007 sec/mil
Line[222]: 00:008 sec/mil
Line[223]: 00:007 sec/mil
Line[224]: 00:008 sec/mil
Line[225]: 00:007 sec/mil
Line[226]: 00:008 sec/mil
Line[227]: 00:007 sec/mil
Line[228]: 00:007 sec/mil
Line[229]: 00:007 sec/mil
Line[230]: 00:007 sec/mil
Line[231]: 00:008 sec/mil
Line[232]: 00:007 sec/mil
Line[233]: 00:007 sec/mil
Line[234]: 00:007 sec/mil
Line[235]: 00:007 sec/mil
Line[236]: 00:008 sec/mil
Line[237]: 00:007 sec/mil
Line[238]: 00:007 sec/mil
Line[239]: 00:008 sec/mil
Line[240]: 00:007 sec/mil
Line[241]: 00:008 sec/mil
Line[242]: 00:007 sec/mil
Line[243]: 00:008 sec/mil
Line[244]: 00:007 sec/mil
Line[245]: 00:008 sec/mil
Line[246]: 00:007 sec/mil
Line[247]: 00:008 sec/mil
Line[248]: 00:007 sec/mil
Line[249]: 00:008 sec/mil
Line[250]: 00:007 sec/mil
Line[251]: 00:007 sec/mil
Line[252]: 00:008 sec/mil
Line[253]: 00:007 sec/mil
Line[254]: 00:008 sec/mil
Line[255]: 00:007 sec/mil
Line[256]: 00:007 sec/mil
Line[257]: 00:008 sec/mil
Line[258]: 00:007 sec/mil
Line[259]: 00:008 sec/mil
Line[260]: 00:007 sec/mil
Line[261]: 00:007 sec/mil
Line[262]: 00:007 sec/mil
Line[263]: 00:007 sec/mil
Line[264]: 00:008 sec/mil
Line[265]: 00:007 sec/mil
Line[266]: 00:008 sec/mil
Line[267]: 00:007 sec/mil
Line[268]: 00:008 sec/mil
Line[269]: 00:008 sec/mil
Line[270]: 00:007 sec/mil
Line[271]: 00:008 sec/mil
Line[272]: 00:007 sec/mil
Line[273]: 00:008 sec/mil
Line[274]: 00:007 sec/mil
Line[275]: 00:007 sec/mil
Line[276]: 00:008 sec/mil
Line[277]: 00:007 sec/mil
Line[278]: 00:007 sec/mil
Line[279]: 00:007 sec/mil
Line[280]: 00:007 sec/mil
Line[281]: 00:008 sec/mil
Line[282]: 00:007 sec/mil
Line[283]: 00:008 sec/mil
Line[284]: 00:007 sec/mil
Line[285]: 00:008 sec/mil
Line[286]: 00:007 sec/mil
Line[287]: 00:008 sec/mil
Line[288]: 00:007 sec/mil
Line[289]: 00:008 sec/mil
Line[290]: 00:007 sec/mil
Line[291]: 00:008 sec/mil
Line[292]: 00:007 sec/mil
Line[293]: 00:007 sec/mil
Line[294]: 00:008 sec/mil
Line[295]: 00:007 sec/mil
Line[296]: 00:008 sec/mil
Line[297]: 00:007 sec/mil
Line[298]: 00:008 sec/mil
Line[299]: 00:007 sec/mil
Line[300]: 00:007 sec/mil
Line[301]: 00:008 sec/mil
Line[302]: 00:007 sec/mil
Line[303]: 00:007 sec/mil
Line[304]: 00:007 sec/mil
Line[305]: 00:007 sec/mil
Line[306]: 00:007 sec/mil
Line[307]: 00:008 sec/mil
Line[308]: 00:007 sec/mil
Line[309]: 00:010 sec/mil
Line[310]: 00:007 sec/mil
Line[311]: 00:007 sec/mil
Line[312]: 00:008 sec/mil
Line[313]: 00:007 sec/mil
Line[314]: 00:008 sec/mil
Line[315]: 00:008 sec/mil
Line[316]: 00:007 sec/mil
Line[317]: 00:007 sec/mil
Line[318]: 00:007 sec/mil
Line[319]: 00:007 sec/mil
Line[320]: 00:007 sec/mil
Line[321]: 00:007 sec/mil
Line[322]: 00:007 sec/mil
Line[323]: 00:007 sec/mil
Line[324]: 00:007 sec/mil
Line[325]: 00:008 sec/mil
Line[326]: 00:007 sec/mil
Line[327]: 00:007 sec/mil
Line[328]: 00:009 sec/mil
Line[329]: 00:009 sec/mil
Line[330]: 00:007 sec/mil
Line[331]: 00:007 sec/mil
